1	387 Maple Street	Garner	NC 27529
2	874 Route 11	Stone Mountain	GA 30083
3	289 Cherry Street	East Hartford	CT 06118
4	595 Ivy Court	New Brunswick	NJ 08901
5	27 Forest Avenue	Durham	NC 27703
6	466 Main Street West	Lewiston	ME 04240
7	534 Buckingham Drive	Marysville	OH 43040
8	975 Ann Street	Woonsocket	RI 02895
9	612 Lafayette Street	North Attleboro	MA 02760
10	933 Devon Court	Warner Robins	GA 31088
11	222 Buckingham Drive	Belleville	NJ 07109
12	197 5th Street	Bakersfield	CA 93306
13	22 Hawthorne Avenue	Burlington	MA 01803
14	81 Rose Street	Plymouth	MA 02360
15	651 Willow Lane	Oak Lawn	IL 60453
16	306 Route 9	East Northport	NY 11731
17	487 Bay Street	Louisville	KY 40207
18	117 Valley View Drive	Arlington Heights	IL 60004
19	859 10th Street	Seattle	WA 98144
20	83 Sunset Drive	Romulus	MI 48174
21	402 Cobblestone Court	Hamtramck	MI 48212
22	428 Morris Street	Hollywood	FL 33020
23	430 Morris Street	Hollywood	FL 33020
24	462 Lilac Lane	Lemont	IL 60439
25	822 Green Street	Portland	ME 04103
26	388 Oxford Road	Greenfield	IN 46140
27	930 Route 29	Trussville	AL 35173
28	112 Orange Street	Amsterdam	NY 12010
29	540 Street Road	Matthews	NC 28104
30	616 Glenwood Drive	Norwalk	CT 06851
31	699 Franklin Avenue	Orchard Park	NY 14127
32	390 Walnut Street	Greensboro	NC 27405
33	380 5th Street East	Fort Worth	TX 76110
34	613 Spruce Avenue	North Augusta	SC 29841
35	840 Locust Street	Sandusky	OH 44870
36	324 Laurel Street	Flemington	NJ 08822
37	214 East Street	Bangor	ME 04401
38	399 Laurel Street	Hampton	VA 23666
39	44 Windsor Drive	Howell	NJ 07731
40	564 Durham Court	Michigan City	IN 46360
41	26 Cedar Street	Duarte	CA 91010
42	817 Orchard Avenue	Peoria	IL 61604
43	58 Summit Street	Natick	MA 01760
44	261 Center Street	Colorado Springs	CO 80911
45	248 Hudson Street	Chevy Chase	MD 20815
46	454 Heritage Drive	Knoxville	TN 37918
47	416 Bridle Lane	Harlingen	TX 78552
48	626 Pine Street	Oakland Gardens	NY 11364
49	503 Country Lane	Mahopac	NY 10541
50	712 Cedar Street	Oswego	NY 13126
